Model,scenario,name,Eq_numb,Number,Model,LAI_eq
PySR,ChiptoVI,PySR_ChiptoVI,19,1,PySR_1,(((BCC + 0.38803244) / (((((CH * CH) / (FC / CH)) - ((TGI / CH) / (NDYI + -0.32053435))) / (NDDI / (((c_depth - NIRv) / FC) / (NLI / (CH + -0.6562961))))) + 1.0874854)) + 0.19774917) * 5.2733
PySR,ChiptoVI_f,PySR_ChiptoVI_f,14,2,PySR_2,((4.7140665 / (3.7442265 - (((CH * (((CH * CH) * ((CH / FC) * -0.047952406)) - (Blue * TSAVIg))) + 1.3882616) * (CH / NDVIf)))) + 1.7670268) * OSAVI
PySR,NDVIc,PySR_NDVIc,11,3,PySR_3,((CH - (GCC / (-1.2562525 - (NDYI * -2.5201893)))) * -1.300431) + (BNDVI * (((IKAW * -2.1131625) + (FC + 2.4931276)) * 2.3654578))
PySR,NDVIc_f,PySR_NDVIc_f,13,4,PySR_4,NDVIf + ((-0.8929279 / (((CH * (((((CH * -0.035761595) * ((CH / FC) * CH)) - Blue) * CH) + 1.0015074)) + -0.9133233) - FC)) + EVI2)
PySR,Tran,PySR_Tran,14,5,PySR_5,(((11.281451 / ((((CH * BAI) - SR) * ((CH + ((c_depth + VARI) - 2.7259064)) * c_depth)) + BAI)) + ((MRBVI + 2.4298637) * FC)) / CH) + GNDVI
PySR,Tran_f,PySR_Tran_f,14,6,PySR_6,(1.2127819 / (NDVIf - (((((NIR - (CH * 0.33663014)) * (c_depth - (c_depth * CH))) + Blue) / FC) * ((1.0625637 / TSAVIm) - CH)))) + (NDVIf / 0.42017606)
Euqa,ChiptoVI,Euqa_ChiptoVI,24,1,Euqa_1,7.53452348975602*BNDVI + 3.15794906498864*FC*IKAW + -0.434009854014022/(0.463398345465726 - NDYI) - CH - 6.6949650688618*MRBVI**2
Euqa,ChiptoVI_f,Euqa_ChiptoVI_f,28,2,Euqa_2,0.426807294208343*CH + 206.951378206671*FC*EVI2/(CH**6 + 59.329320874589*FC*EVI)
Euqa,NDVIc,Euqa_NDVIc,20,3,Euqa_3,3.67878973956415*NDVIf + 17.1051135825517*BCC*GBNDVI + 2.74874496950228/(5.54871237577726 - 39.4914181618934*BCC) - CH
Euqa,NDVIc_f,Euqa_NDVIc_f,24,4,Euqa_4,0.619093455380083 + 168.201140218509*FC*EVI2/(CH**5 + 51*FC*EVI)
Euqa,Tran,Euqa_Tran,17,5,Euqa_5,RGRI + 10.8480208985154*NIR + 3.03260815219075*FC - 0.895490196054478 - 5.06554129223927*NIR*CH
Euqa,Tran_f,Euqa_Tran_f,34,6,Euqa_6,NIR + 1.76418623674398*NDVIf + 313.232450544872*NIR*FC/(CH + 101.887464206735*FC*EVI + c_depth*CH**6)
